PULocationID,trips,total_fare,total_tips,total_revenue,sum_distance,avg_fare,avg_distance
1,327,30898.46,3665.32,36072.89,595.2,94.49070336391436,1.8201834862385322
2,25,1228.64,83.68,1450.35,288.35,49.1456,11.534
3,1364,48717.17,151.23,53627.58,12773.33,35.716400293255134,9.364611436950147
4,44820,947147.2,44018.93,1249437.44,142697.99,21.132244533690315,3.183801651048639
5,4,108.52000000000001,0.0,115.02000000000001,23.7,27.130000000000003,5.925
6,262,5728.83,56.85,9304.8,1695.7,21.865763358778626,6.4721374045801525
7,25691,708044.9,12921.23,853446.83,133235.95,27.560036588688646,5.186094352107743
8,98,4271.7300000000005,519.67,5458.0,529.8,43.58908163265306,5.406122448979591
9,477,15308.19,188.17,17786.01,3708.76,32.09264150943396,7.77517819706499
10,5562,281135.22,25613.48,336073.6,56279.82,50.54570658036677,10.118629989212513
11,952,32987.97,110.02000000000001,35122.76,7955.48,34.65122899159664,8.356596638655462
12,1951,52952.06,6287.74,70691.27,8722.24,27.140984110712456,4.470650948231676
13,61617,1570826.49,198424.96,2163858.24,265661.88,25.493394517746726,4.31150299430352
14,5475,194283.23,1699.09,219005.1,45830.57,35.48552146118722,8.370880365296804
15,490,17316.91,159.42000000000002,20725.05,4386.56,35.34063265306123,8.952163265306122
16,940,33570.01,343.27,38703.17,8292.41,35.712776595744685,8.821712765957447
17,12019,372709.37,4792.5,422479.46,63186.89,31.010014976287543,5.257250187203594
18,2872,101968.37,191.09,111600.35,24856.29,35.504307103064065,8.654697075208913
19,1138,45255.94,492.71,51247.05,11440.28,39.76796133567663,10.052970123022847
20,1407,48019.42,277.97,53286.08,11286.13,34.12894100923952,8.02141435678749
21,1871,60958.36,177.99,65374.99,14062.14,32.580630678781404,7.515841795831106
22,2430,77029.77,158.04,82620.97,17262.96,31.699493827160495,7.104098765432099
23,98,5121.07,37.97,6018.08,994.1,52.255816326530606,10.143877551020408
24,32224,618735.4,59052.77,819563.04,99041.95,19.20107373386296,3.07354611469712
25,12672,400052.83,10774.55,463519.61,69456.25,31.569825599747475,5.481080334595959
26,3615,101895.25,280.95,110712.33,19204.63,28.186791147994466,5.312484094052559
27,35,1995.72,12.48,2281.8,488.47,57.02057142857143,13.956285714285714
28,3343,124760.19,4247.6,144365.98,24543.57,37.31982949446605,7.341779838468441
