PULocationID,trips,total_fare,total_tips,total_revenue,sum_distance,avg_fare,avg_distance
132,405577,25062436.240000002,3733774.83,32399670.15,6135641.32,61.79452049795724,15.12817866890874
138,247881,11028865.19,2365000.95,17322967.97,2376425.35,44.49257986695228,9.586960477003078
161,426203,7718487.88,1296039.44,11655303.73,976646.83,18.109886321776244,2.2915062305990337
237,457903,6384811.850000001,1195742.12,10011137.58,826192.15,13.943590345553535,1.8042951236397229
236,427054,6325023.45,1103861.11,9636658.38,855166.85,14.810828255911431,2.0024794288310144
230,297306,6059460.3,938556.93,8924065.32,848184.6,20.381224395067708,2.8529010514419486
186,316687,5529290.69,983028.85,8338171.0600000005,726960.21,17.459796865674942,2.2955164247348327
162,315246,5349198.86,960796.5,8222422.36,707822.72,16.96833222308927,2.2453027794167095
79,286813,5253198.61,562869.33,7496084.45,721722.78,18.31576187271846,2.516353094176345
68,259903,4958104.35,734604.95,7265021.91,669393.83,19.076749210282298,2.575552533060411
