1	132->265	19520	2403939.57	123.15	20.21	40.09
2	132->230	14698	1428559.44	97.19	17.66	56.73
3	237->236	68497	1107952.34	16.18	1.02	7.87
4	138->230	13601	1093917.92	80.43	10.12	38.35
5	236->237	58863	990860.42	16.83	1.01	8.84
6	132->164	7927	780713.20	98.49	17.02	48.15
7	132->048	7216	695309.45	96.36	17.95	56.04
8	138->161	8804	680552.25	77.30	9.71	35.43
9	230->138	8172	652732.07	79.87	11.46	35.39
10	237->237	44385	643541.46	14.50	0.63	6.11
11	132->161	6478	636177.07	98.21	17.38	52.16
12	236->236	46029	632781.09	13.75	0.62	5.53
13	132->163	6431	617606.60	96.04	17.81	56.67
14	132->170	6221	606387.47	97.47	16.65	42.83
15	161->236	25042	604123.23	24.12	1.89	14.34
16	161->237	29921	570033.73	19.05	1.04	10.13
17	138->265	3934	553129.09	140.60	21.66	42.21
18	132->239	5525	540408.94	97.81	20.41	53.73
19	132->236	5528	538014.11	97.33	18.99	45.98
20	132->068	5337	524695.05	98.31	17.85	52.95
