1	237->236	68497	1107952.34	16.18	1.02	7.87
2	236->237	58863	990860.42	16.83	1.01	8.84
3	236->236	46029	632781.09	13.75	0.62	5.53
4	237->237	44385	643541.46	14.50	0.63	6.11
5	161->237	29921	570033.73	19.05	1.04	10.13
6	237->161	27049	500002.41	18.49	1.04	10.13
7	239->238	25171	360509.00	14.32	0.84	5.58
8	161->236	25042	604123.23	24.12	1.89	14.34
9	142->239	24690	381415.92	15.45	0.96	6.65
10	141->236	23638	386690.41	16.36	1.06	8.36
11	239->142	23626	355424.01	15.04	0.86	6.51
12	236->141	22406	390757.75	17.44	1.10	9.52
13	237->162	21590	379475.98	17.58	0.97	8.85
14	237->141	21537	325075.48	15.09	0.74	6.96
15	236->161	21529	517294.21	24.03	1.89	15.09
16	238->239	21278	300464.47	14.12	0.79	5.84
17	236->239	20523	375379.49	18.29	1.41	9.56
18	186->230	20233	426443.88	21.08	1.02	13.75
19	263->236	19534	272575.30	13.95	0.67	5.97
20	132->265	19520	2403939.57	123.15	20.21	40.09
